link,diff
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CWC23QUALIF,203
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/LUCKYSEVEN,213
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CLEARDAY,233
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DOUBLERENT,234
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TAXSAVING,252
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TOP10,255
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BIRYANI,257
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/LUDO,260
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PRACLIST,264
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DETSCORE,267
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/ERROR404,267
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/OFFBY1,271
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DONDRIVE,272
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/KITCHENTIME,273
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/IPLTRSH,273
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/AUDIBLE,279
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TIMELY,279
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PUZHUNT,279
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BNE_APT,280
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TALLER,281
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/REACHTARGET,281
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BESTOFTWO,284
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/RIP2000,284
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MINHEIGHT,285
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CANDIVIDE,289
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CHEFONDATE,294
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PAR2,295
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PRIZEPOOL,296
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CNTWRD,296
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BTRYHLTH,296
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/JERRYCHASE,298
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/AGEING,299
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/RIGHTTHERE,299
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SNDMAX,300
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BULLBEAR,300
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FOURTICKETS,302
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CHAIRS_,305
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DNATION,305
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SUMM,308
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SUBSCRIBE,315
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MVR,316
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/WAITTIME,319
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/OCTATHON,319
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/ONEMORE,320
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MANAPTS,327
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/RAINFALL1,328
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/AUCTION,330
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FINE,335
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CHESSTIME,337
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FAIRPASS,342
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/READPAGES,343
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COUGAME,347
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/AIRINDEX,347
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FEVER,348
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SLEEP,348
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/M1ENROL,349
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SEMCOURSES,350
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/WATERREQ,351
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/LTIME,352
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/INVESTMENT,357
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/POPULATION,358
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PARTY2,363
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COMPLEXITY,364
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/INTRDSGN,373
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CARTRIP,374
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TABLETS,376
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SIXFRIENDS,382
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CWIREFRAME,383
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MINCOINSREQ,390
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/KITCHENSPICE,390
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CS2023_GIFT,390
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/REACH_HOME,395
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DOREWARD,395
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TFPAPER,398
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CABS,399
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DISCNT,401
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/HEIGHTRATION,405
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/INSTAGRAM,408
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/VOLCONTROL,409
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/HS08TEST,410
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/HOTCOLD,410
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PROINC,414
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FBC,419
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PARLIAMENT,419
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FLOW002,421
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MANIPULATE,427
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CMASKS,432
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SPECIALITY,434
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MAXIMUMSUBS,435
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TVDISC,447
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BROKENPHONE,451
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/TYRE,452
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FLOW006,455
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BUDGET_,456
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CREDSCORE,459
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/FLOW004,461
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/INTEST,464
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/PRACTICEPERF,467
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/ASSIGNMNT,468
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/COURSEREG,470
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/INSURANCE,475
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/AIRLINES,475
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/INCRIQ,478
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BATTERYLOW,479
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/BOBBANK,481
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MANGOES,482
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/MONOPOLY,482
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/WATERFLOW,483
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/F1RULE,487
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/DOMINANT,488
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/SONGS,489
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CHEFCHOCO,492
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/NETFLIX,493
https://www.codechef.com/practice/course/basic-programming-concepts/DIFF500/problems/CGYM,496
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/AVGPROBLEM,500
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SUBSCRIBE_,504
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/JASSIGNMENTS,513
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/EXAMCHEF,519
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/OFFICE,532
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/AMR15A,533
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CREDCOINS,539
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/WATERFILLING,541
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SALESEASON,541
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MINPIZZA,546
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHEFGAMES,550
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/EXPERT,561
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/HELIUM3,562
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SUGARCANE,563
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/NOTEBOOK,563
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHEFCAND,570
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/TRAVELFAST,571
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/TRUESCORE,572
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/THREETOPICS,573
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MONOPOLY2,578
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/TODOLIST,580
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/ACTEMP,584
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/NEARESTEXIT,585
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FLOW007,588
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SST,592
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/NIBBLE,593
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/QUALIFY,594
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/ELECTN,604
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MINCARS,608
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHEFSCORE,610
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/JENGA,613
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SEATNUMBER,613
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/DISCUS,622
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MAXTASTE,627
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MOVIE2X,628
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/POLTHIEF,639
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FLIPCARDS,641
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/BATH,643
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FINDSHOES,646
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FCTRL2,648
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/TRANSFORM,649
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/BULLET,650
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/C_RATING,651
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/DNASTRAND,660
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHEFBOTTLE,662
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CANDYDIST,668
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FSQRT,668
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/LASTLEVELS,679
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/BLACKJACK,681
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FILLCANDIES,681
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/XJUMP,686
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHESSDIST,690
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/VALENTINE,691
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MYSERVE,691
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/WTRMIXING,694
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/WGHTS,697
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHEFAPPS,702
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHEFEREN,706
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MINCOINS,711
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SPCP2,712
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SELFDEF,716
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CRICUP,716
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FLOORS,717
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SPEEDTEST,718
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/DECINC,722
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/AORB,728
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FLOW017,730
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/PASSORFAIL,730
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CYCLICQD,735
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/POLYBAGS,738
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FIZZBUZZ2303,739
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/BUILDINGRACE,739
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHEFRACES,745
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MOZZ,752
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/PRESENTS,757
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/FLOW018,760
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHEAT,763
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/T20MCH,769
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHOPRT,770
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/CHN15A,777
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/REACHFAST,777
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SINGLEUSE,777
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/SALE,778
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/MINFLIPS,781
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/BIN_BAT,786
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/DICEGAME2,789
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/TLG,790
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/DPOLY,793
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/RECENTCONT,793
https://www.codechef.com/practice/course/logical-problems/DIFF800/problems/PRB01,794
